gene	Example
ANKRD62P1	0
ANKRD62P1-PARP4P3	0
ANKRD63	0
ANKRD65	0
ANKRD65-AS1	0
ANKRD66	0
ANKRD7	0
ANKRD9	1478.952
ANKS1A	178
ANKS1B	0
ANKS3	10
ANKS4B	248.056
ANKS6	47
ANKUB1	0
ANKZF1	206.992
ANLN	31.999
ANO1	231.163
ANO1-AS1	0
ANO10	349
ANO2	0
ANO3	0
ANO3-AS1	0
ANO4	9
ANO5	57
ANO6	2215.999
ANO7	4
ANO7L1	1
ANO8	32
ANO9	219
ANOS1	0
ANOS2P	0
ANP32A	552
ANP32AP1	0
ANP32B	958
ANP32BP1	0
ANP32BP2	0
ANP32BP3	0
ANP32CP	0
ANP32D	0
ANP32E	155
ANPEP	3261.999
ANTKMT	7
ANTXR1	1
ANTXR2	485
ANTXRL	0
ANTXRLP1	0
ANXA1	726
ANXA10	2353
ANXA11	1492
ANXA13	122
ANXA2	12721.651
ANXA2P1	0
ANXA2P2	1.346
ANXA2P3	1.004
ANXA2R	0
ANXA2R-AS1	2
ANXA2R-OT1	11.753
ANXA3	1789.001
ANXA4	3233.001
ANXA5	472.001
ANXA6	7
ANXA7	449.001
ANXA8	0
ANXA8L1	7
ANXA9	9
AOAH	694.117
AOAH-IT1	0
AOC1	2492
AOC2	0
AOC3	1
AOC4P	1
AOPEP	68.167
AOPEP-AS1	0
AOX1	7
AOX2P	0
AOX3P	0
AOX3P-AOX2P	0
AP1AR	244.999
AP1AR-DT	2
AP1B1	107.268
AP1B1P1	0
AP1B1P2	0
AP1G1	1283.035
AP1G2	503
AP1G2-AS1	9
AP1M1	101.56
AP1M2	544
AP1M2P1	0
AP1S1	153
AP1S2	71
AP1S2P1	0
AP1S3	106
AP2A1	447.638
AP2A2	380.506
AP2B1	1748
AP2B1P1	0
AP2M1	1177
AP2S1	642
AP3B1	597.165
AP3B2	3.006
AP3D1	109.854
AP3M1	1010.036
AP3M2	87
AP3S1	2164.173
AP3S1P1	0
AP3S2	448.593
AP4B1	36.43
AP4B1-AS1	2.016
AP4E1	67.536
AP4M1	33.999
AP4S1	13.882
AP5B1	29
AP5M1	707
AP5S1	52.195
AP5Z1	30
APAF1	211
APBA1	2
APBA2	0
APBA3	12.002
APBB1	5
APBB1IP	4
APBB2	216.347
APBB3	18
APC	436
APC2	0
APCDD1	0
APCDD1L	0
APCDD1L-DT	0
APCS	0
APEH	187.001
APELA	0
APEX1	160.001
APEX2	81
APH1A	517
APH1B	5
API5	717.001
API5P1	0
API5P2	0
APIP	106
APLF	3
APLN	0
APLNR	0
APLP1	30
APLP2	4182.216
APMAP	230
APOA1	3
APOA1-AS	0
APOA2	0
APOA4	193
APOA5	0
APOB	525
APOBEC1	412
APOBEC2	0
APOBEC3A	0
APOBEC3AP1	0
APOBEC3B	21.798
APOBEC3B-AS1	0
APOBEC3C	56.978
APOBEC3D	2.522
APOBEC3F	9.868
APOBEC3G	6.533
APOBEC3H	0
APOBEC4	0
APOBR	0
APOC1	1
APOC1P1	0
APOC2	4.668
APOC3	5
APOC4	0
APOC4-APOC2	0
APOD	120
APOE	3
APOF	0
APOH	2
APOL1	59.869
APOL2	58.119
APOL3	0
APOL4	4.997
APOL5	0
APOL6	1698.84
APOLD1	14.009
APOM	20
APONP	0
APOO	54
APOOL	0
APOOP1	0
APOOP2	0
APOOP3	0
APOOP4	0
APOOP5	0
APP	4631.008
APP-DT	0
APPAT	10
APPBP2	362.989
APPBP2-DT	0
APPL1	412.029
APPL2	2529.001
APRG1	15
APRT	60
APTR	133
APTX	67.537
AQP1	5
AQP10	2
AQP11	40
AQP12A	98.157
AQP12B	119.844
AQP2	0
AQP3	57.001
AQP4	0
AQP4-AS1	1.006
AQP5	2
AQP5-AS1	1
AQP6	0
AQP7	18
AQP7B	0
AQP7P1	0
AQP7P2	0
AQP7P3	0
AQP7P4	0
AQP7P5	0
AQP8	0
AQP9	0
AQR	404
AR	0
ARAF	244.621
ARAFP1	0
ARAFP2	0
ARAFP3	0
ARAP1	91
ARAP1-AS1	0
ARAP1-AS2	0
ARAP2	164
ARAP3	2
ARB2A	187
ARB2BP	0
ARC	0
ARCN1	3011.276
AREG	191
AREL1	456
ARF1	2495
ARF1P1	0
ARF1P2	0
ARF1P3	0
ARF3	2350
ARF4	2843.999
ARF4P1	0
ARF4P2	0
ARF4P3	0
ARF4P4	0
ARF5	248
ARF6	1135
ARFGAP1	65
ARFGAP2	68.089
ARFGAP3	551.382
ARFGEF1	485.999
ARFGEF1-DT	2
ARFGEF2	660
ARFGEF3	108.003
ARFIP1	573
ARFIP2	199
ARFRP1	17
ARG1	0
ARG2	58
ARGFX	0
ARGFXP1	0
ARGFXP2	0
ARGLU1	665
ARGLU1-DT	0
ARHGAP1	678.389
ARHGAP10	7
ARHGAP11A	21
ARHGAP11A-DT	8
ARHGAP11B	0
ARHGAP11B-DT	0
ARHGAP12	472
ARHGAP15	2
ARHGAP15-AS1	0
ARHGAP16P	0
ARHGAP17	296.999
ARHGAP18	1787
ARHGAP19	38
ARHGAP19-SLIT1	0
ARHGAP20	0
ARHGAP21	1020.113
ARHGAP22	0
ARHGAP22-IT1	0
ARHGAP23	21
ARHGAP23P1	0
ARHGAP24	0
ARHGAP25	1.629
ARHGAP26	221.382
ARHGAP26-AS1	0
ARHGAP26-IT1	0
ARHGAP27	824.999
ARHGAP27P1-BPTFP1-KPNA2P3	42.101
ARHGAP27P2	0
ARHGAP28	1.024
ARHGAP28-AS1	0
ARHGAP29	118
ARHGAP29-AS1	0
ARHGAP30	2
ARHGAP31	0
ARHGAP31-AS1	0
ARHGAP32	1705
ARHGAP33	1
ARHGAP35	0
ARHGAP36	0
ARHGAP39	21
ARHGAP4	0
ARHGAP40	0
ARHGAP42	218
ARHGAP42-AS1	0
ARHGAP42P1	0
ARHGAP42P2	0
ARHGAP42P3	0
ARHGAP42P4	2.176
ARHGAP42P5	0
ARHGAP44	27
ARHGAP44-AS1	0
ARHGAP45	64.02
ARHGAP5	1414.927
ARHGAP5-AS1	12
ARHGAP6	0
ARHGAP8	183.309
ARHGAP9	0
ARHGDIA	657.001
ARHGDIB	11
ARHGDIG	28
ARHGEF1	39
